=======产品序列号=======                                	 =======产品序名称=======                                	 被引用次数                                             
ME07010006                                         	 尖嘴钳                                                	 3                                                 
MC0202DE000156                                     	 贴纸-尖嘴钳                                             	 2                                                 
MC1303BF010002                                     	 飞机盒T2                                              	 16                                                
MC16020001                                         	 淀粉水泥                                               	 1                                                 
MC16020002                                         	 快干水泥                                               	 1                                                 
MC16020003                                         	 黄沙                                                 	 1                                                 
MC1302BY010004                                     	 药品瓶100ml有盖                                         	 1                                                 
MC0202DE000258                                     	 贴纸-水泥黄沙40*30mm横板                                   	 1                                                 
MC0202DE000187                                     	 贴纸-电子秤80*60mm                                      	 1                                                 
MC1301BT010007                                     	 透明自封袋7号                                            	 38                                                
ME06020006                                         	 电子秤                                                	 2                                                 
ME07010016                                         	 四色长刃美工刀                                            	 6                                                 
MC1301BT010006                                     	 透明自封袋6号                                            	 41                                                
MC0202DE000283                                     	 贴纸-四色长刃美工刀80*60mm                                  	 1                                                 
ME07010029                                         	 刻刀                                                 	 1                                                 
MC0202DE000265                                     	 贴纸-刻刀60*40mm                                       	 1                                                 
MC1300BY010001                                     	 原包装-规格不明                                           	 63                                                
ME07010030                                         	 锉刀                                                 	 1                                                 
MC0202DE000266                                     	 贴纸-锉刀60*40mm                                       	 1                                                 
ME07010017                                         	 小号剪刀                                               	 16                                                
MC1301BT010005                                     	 透明自封袋5号                                            	 50                                                
MC0202DE000284                                     	 贴纸-剪刀80*60mm                                       	 1                                                 
MC07020012                                         	 木工铅笔                                               	 2                                                 
MC0202DE000270                                     	 贴纸-木工铅笔80*60mm                                     	 1                                                 
MC0202DE000245                                     	 贴纸-雪糕棒80*60mm                                      	 1                                                 
MC05030051                                         	 雪糕棒                                                	 6                                                 
MC14010013                                         	 钉子套装                                               	 2                                                 
MC0202DE000267                                     	 贴纸-钉子套装80*60mm                                     	 1                                                 
ME07020016                                         	 20cm钢尺                                             	 13                                                
MC0202DE000293                                     	 贴纸-钢尺60*40mm                                       	 1                                                 
MC1301BC010006                                     	 长条透明自封袋70*350mm                                    	 9                                                 
MC0202DE000247                                     	 贴纸-轻木板80*60mm                                      	 1                                                 
MC16010001                                         	 轻木板                                                	 4                                                 
